Transform(Location(x=8.499997, y=19.299999, z=0.000685), Rotation(pitch=0.000034, yaw=-90.299980, roll=0.000363))
Transform(Location(x=8.351422, y=-12.305478, z=0.001388), Rotation(pitch=0.079012, yaw=-90.668625, roll=0.005116))
Transform(Location(x=8.345592, y=-12.811962, z=0.001388), Rotation(pitch=0.078964, yaw=-90.673660, roll=0.004791))
Transform(Location(x=8.339710, y=-13.322259, z=0.001388), Rotation(pitch=0.078923, yaw=-90.676559, roll=0.004321))
Transform(Location(x=8.333793, y=-13.836369, z=0.001388), Rotation(pitch=0.078896, yaw=-90.676559, roll=0.003725))
Transform(Location(x=8.327855, y=-14.354293, z=0.001388), Rotation(pitch=0.078875, yaw=-90.673309, roll=0.003042))
Transform(Location(x=8.321917, y=-14.876030, z=0.001388), Rotation(pitch=0.078855, yaw=-90.666466, roll=0.002287))
Transform(Location(x=8.315994, y=-15.401578, z=0.001388), Rotation(pitch=0.078841, yaw=-90.656036, roll=0.001482))
Transform(Location(x=8.310102, y=-15.930934, z=0.001389), Rotation(pitch=0.078820, yaw=-90.642288, roll=0.000667))
Transform(Location(x=8.304255, y=-16.464081, z=0.001389), Rotation(pitch=0.078779, yaw=-90.625488, roll=-0.000153))
Transform(Location(x=8.298471, y=-17.000986, z=0.001389), Rotation(pitch=0.078684, yaw=-90.605896, roll=-0.000977))
Transform(Location(x=8.292771, y=-17.541569, z=0.001391), Rotation(pitch=0.078465, yaw=-90.583801, roll=-0.001831))
Transform(Location(x=8.287173, y=-18.085699, z=0.001393), Rotation(pitch=0.078028, yaw=-90.559448, roll=-0.002686))
Transform(Location(x=8.281697, y=-18.633158, z=0.001398), Rotation(pitch=0.077229, yaw=-90.533134, roll=-0.003571))
Transform(Location(x=8.276364, y=-19.183601, z=0.001406), Rotation(pitch=0.075856, yaw=-90.505188, roll=-0.004456))
Transform(Location(x=8.271196, y=-19.736561, z=0.001419), Rotation(pitch=0.073691, yaw=-90.475952, roll=-0.005341))
Transform(Location(x=8.266213, y=-20.291513, z=0.001436), Rotation(pitch=0.070624, yaw=-90.445686, roll=-0.006226))
Transform(Location(x=8.261438, y=-20.847904, z=0.001460), Rotation(pitch=0.066608, yaw=-90.414642, roll=-0.007111))
Transform(Location(x=8.256882, y=-21.405136, z=0.001489), Rotation(pitch=0.061636, yaw=-90.383339, roll=-0.007965))
Transform(Location(x=8.252559, y=-21.962538, z=0.001524), Rotation(pitch=0.055652, yaw=-90.352180, roll=-0.008759))
Transform(Location(x=8.248477, y=-22.519438, z=0.001565), Rotation(pitch=0.048720, yaw=-90.321411, roll=-0.009491))
Transform(Location(x=8.244643, y=-23.075239, z=0.001610), Rotation(pitch=0.041029, yaw=-90.291138, roll=-0.010162))
Transform(Location(x=8.241060, y=-23.629457, z=0.001658), Rotation(pitch=0.032860, yaw=-90.261429, roll=-0.010742))
Transform(Location(x=8.237729, y=-24.181799, z=0.001707), Rotation(pitch=0.024630, yaw=-90.232460, roll=-0.011261))
Transform(Location(x=8.234651, y=-24.732168, z=0.001753), Rotation(pitch=0.016768, yaw=-90.204254, roll=-0.011719))
Transform(Location(x=8.231823, y=-25.280588, z=0.001795), Rotation(pitch=0.009624, yaw=-90.177032, roll=-0.012115))
Transform(Location(x=8.229239, y=-25.827219, z=0.001831), Rotation(pitch=0.003477, yaw=-90.151085, roll=-0.012421))
Transform(Location(x=8.226898, y=-26.372349, z=0.001860), Rotation(pitch=-0.001434, yaw=-90.126488, roll=-0.012665))
Transform(Location(x=8.224796, y=-26.916382, z=0.001880), Rotation(pitch=-0.004945, yaw=-90.103149, roll=-0.012878))
Transform(Location(x=8.222932, y=-27.459728, z=0.001893), Rotation(pitch=-0.007049, yaw=-90.080872, roll=-0.013062))
Transform(Location(x=8.221305, y=-28.002748, z=0.001898), Rotation(pitch=-0.007937, yaw=-90.059288, roll=-0.013245))
Transform(Location(x=8.219919, y=-28.545668, z=0.001898), Rotation(pitch=-0.007903, yaw=-90.037926, roll=-0.013428))
Transform(Location(x=8.218777, y=-29.088579, z=0.001895), Rotation(pitch=-0.007356, yaw=-90.016182, roll=-0.013641))
Transform(Location(x=8.217886, y=-29.631418, z=0.001891), Rotation(pitch=-0.006687, yaw=-89.993401, roll=-0.013916))
Transform(Location(x=8.217252, y=-30.174034, z=0.001888), Rotation(pitch=-0.006195, yaw=-89.969101, roll=-0.014221))
Transform(Location(x=8.216881, y=-30.716278, z=0.001887), Rotation(pitch=-0.006011, yaw=-89.943077, roll=-0.014557))
Transform(Location(x=8.216782, y=-31.258036, z=0.001888), Rotation(pitch=-0.006134, yaw=-89.914909, roll=-0.014923))
Transform(Location(x=8.216961, y=-31.799267, z=0.001890), Rotation(pitch=-0.006407, yaw=-89.884735, roll=-0.015320))
Transform(Location(x=8.217422, y=-32.340050, z=0.001891), Rotation(pitch=-0.006653, yaw=-89.852844, roll=-0.015686))
Transform(Location(x=8.218168, y=-32.880615, z=0.001890), Rotation(pitch=-0.006530, yaw=-89.819572, roll=-0.016022))
Transform(Location(x=8.219207, y=-33.421375, z=0.001886), Rotation(pitch=-0.005737, yaw=-89.785179, roll=-0.016357))
Transform(Location(x=8.220543, y=-33.962795, z=0.001876), Rotation(pitch=-0.004084, yaw=-89.749840, roll=-0.016663))
Transform(Location(x=8.222185, y=-34.505322, z=0.001861), Rotation(pitch=-0.001557, yaw=-89.713707, roll=-0.016968))
Transform(Location(x=8.224138, y=-35.049335, z=0.001842), Rotation(pitch=0.001694, yaw=-89.676880, roll=-0.017273))
Transform(Location(x=8.226415, y=-35.595158, z=0.001820), Rotation(pitch=0.005485, yaw=-89.639259, roll=-0.017578))
Transform(Location(x=8.229029, y=-36.143066, z=0.001796), Rotation(pitch=0.009624, yaw=-89.600616, roll=-0.017944))
Transform(Location(x=8.231991, y=-36.693283, z=0.001770), Rotation(pitch=0.013968, yaw=-89.560936, roll=-0.018311))
Transform(Location(x=8.235172, y=-37.245987, z=0.001745), Rotation(pitch=0.018339, yaw=-89.527809, roll=-0.017670))
Transform(Location(x=8.238503, y=-37.801197, z=0.001720), Rotation(pitch=0.022471, yaw=-89.504860, roll=-0.016388))
Transform(Location(x=8.241932, y=-38.358765, z=0.001699), Rotation(pitch=0.026030, yaw=-89.493843, roll=-0.014648))
Transform(Location(x=8.245407, y=-38.918343, z=0.001684), Rotation(pitch=0.028653, yaw=-89.495361, roll=-0.012665))
Transform(Location(x=8.248886, y=-39.479431, z=0.001676), Rotation(pitch=0.029998, yaw=-89.508850, roll=-0.010559))
Transform(Location(x=8.252319, y=-40.041458, z=0.001676), Rotation(pitch=0.029957, yaw=-89.533379, roll=-0.008392))
Transform(Location(x=8.255661, y=-40.603741, z=0.001686), Rotation(pitch=0.028379, yaw=-89.567383, roll=-0.006226))
Transform(Location(x=8.258869, y=-41.165562, z=0.001704), Rotation(pitch=0.025244, yaw=-89.608826, roll=-0.004089))
Transform(Location(x=8.261907, y=-41.726204, z=0.001730), Rotation(pitch=0.020716, yaw=-89.655693, roll=-0.002045))
Transform(Location(x=8.264896, y=-42.285019, z=0.001764), Rotation(pitch=0.014972, yaw=-89.697685, roll=-0.001251))
Transform(Location(x=8.267855, y=-42.841434, z=0.001803), Rotation(pitch=0.008312, yaw=-89.731712, roll=-0.000946))
Transform(Location(x=8.270731, y=-43.394989, z=0.001846), Rotation(pitch=0.001066, yaw=-89.759361, roll=-0.000549))
Transform(Location(x=8.273499, y=-43.945305, z=0.001890), Rotation(pitch=-0.006468, yaw=-89.781906, roll=0.000006))
Transform(Location(x=8.276142, y=-44.492073, z=0.001934), Rotation(pitch=-0.014070, yaw=-89.800362, roll=0.000678))
Transform(Location(x=8.278653, y=-45.035042, z=0.001978), Rotation(pitch=-0.021515, yaw=-89.815460, roll=0.001397))
Transform(Location(x=8.281029, y=-45.574001, z=0.002020), Rotation(pitch=-0.028687, yaw=-89.827873, roll=0.002105))
Transform(Location(x=8.283271, y=-46.108791, z=0.002060), Rotation(pitch=-0.035462, yaw=-89.838112, roll=0.002759))
Transform(Location(x=8.285384, y=-46.639290, z=0.002097), Rotation(pitch=-0.041808, yaw=-89.846649, roll=0.003338))
Transform(Location(x=8.287374, y=-47.165386, z=0.002131), Rotation(pitch=-0.047661, yaw=-89.853699, roll=0.003826))
Transform(Location(x=8.289249, y=-47.686993, z=0.002163), Rotation(pitch=-0.053009, yaw=-89.859627, roll=0.004221))
Transform(Location(x=8.291015, y=-48.204048, z=0.002192), Rotation(pitch=-0.057865, yaw=-89.864563, roll=0.004522))
Transform(Location(x=8.292679, y=-48.716511, z=0.002217), Rotation(pitch=-0.062250, yaw=-89.868690, roll=0.004737))
