Transform(Location(x=202.543060, y=-339.062347, z=0.021366), Rotation(pitch=-0.000458, yaw=90.646118, roll=0.000253))
Transform(Location(x=202.542648, y=-339.017975, z=0.021252), Rotation(pitch=0.011775, yaw=90.651512, roll=0.000337))
Transform(Location(x=202.542450, y=-339.004242, z=0.021238), Rotation(pitch=0.014138, yaw=90.646126, roll=0.000238))
Transform(Location(x=202.542267, y=-338.988586, z=0.021230), Rotation(pitch=0.015634, yaw=90.640427, roll=0.000281))
Transform(Location(x=202.542068, y=-338.971130, z=0.021224), Rotation(pitch=0.016522, yaw=90.636406, roll=0.000279))
Transform(Location(x=202.541779, y=-338.951050, z=0.021215), Rotation(pitch=0.018134, yaw=90.626846, roll=0.000295))
Transform(Location(x=202.541458, y=-338.928192, z=0.021205), Rotation(pitch=0.019924, yaw=90.614998, roll=0.000257))
Transform(Location(x=202.541153, y=-338.902679, z=0.021195), Rotation(pitch=0.021522, yaw=90.612534, roll=0.000217))
Transform(Location(x=202.540817, y=-338.874451, z=0.021187), Rotation(pitch=0.022888, yaw=90.610901, roll=0.000275))
Transform(Location(x=202.540497, y=-338.842377, z=0.021172), Rotation(pitch=0.025497, yaw=90.610367, roll=0.000305))
Transform(Location(x=202.540176, y=-338.807068, z=0.021161), Rotation(pitch=0.027348, yaw=90.618248, roll=0.000314))
Transform(Location(x=202.539749, y=-338.767883, z=0.021148), Rotation(pitch=0.029493, yaw=90.621323, roll=0.000188))
Transform(Location(x=202.539291, y=-338.724823, z=0.021135), Rotation(pitch=0.031672, yaw=90.623039, roll=0.000137))
Transform(Location(x=202.538803, y=-338.678192, z=0.021126), Rotation(pitch=0.033263, yaw=90.624786, roll=0.000199))
Transform(Location(x=202.538254, y=-338.627991, z=0.021119), Rotation(pitch=0.034568, yaw=90.622688, roll=0.000240))
Transform(Location(x=202.537689, y=-338.574066, z=0.021111), Rotation(pitch=0.035872, yaw=90.623276, roll=0.000257))
Transform(Location(x=202.537079, y=-338.516296, z=0.021104), Rotation(pitch=0.037006, yaw=90.625099, roll=0.000234))
Transform(Location(x=202.536407, y=-338.454651, z=0.021098), Rotation(pitch=0.038010, yaw=90.625107, roll=0.000200))
Transform(Location(x=202.535675, y=-338.389130, z=0.021093), Rotation(pitch=0.038905, yaw=90.625816, roll=0.000156))
Transform(Location(x=202.534897, y=-338.319733, z=0.021088), Rotation(pitch=0.039731, yaw=90.627205, roll=0.000076))
Transform(Location(x=202.534058, y=-338.246368, z=0.021084), Rotation(pitch=0.040476, yaw=90.629272, roll=-0.000000))
Transform(Location(x=202.533142, y=-338.169067, z=0.021080), Rotation(pitch=0.041131, yaw=90.632042, roll=-0.000092))
Transform(Location(x=202.532181, y=-338.087830, z=0.021077), Rotation(pitch=0.041685, yaw=90.635345, roll=-0.000153))
Transform(Location(x=202.531189, y=-338.002655, z=0.021074), Rotation(pitch=0.042129, yaw=90.638992, roll=-0.000183))
Transform(Location(x=202.530106, y=-337.913544, z=0.021072), Rotation(pitch=0.042477, yaw=90.642838, roll=-0.000183))
Transform(Location(x=202.528976, y=-337.820587, z=0.021071), Rotation(pitch=0.042730, yaw=90.646881, roll=-0.000183))
Transform(Location(x=202.527802, y=-337.723694, z=0.021070), Rotation(pitch=0.042914, yaw=90.651001, roll=-0.000153))
Transform(Location(x=202.526581, y=-337.622925, z=0.021069), Rotation(pitch=0.043037, yaw=90.654831, roll=-0.000092))
Transform(Location(x=202.525330, y=-337.518402, z=0.021069), Rotation(pitch=0.043071, yaw=90.658188, roll=0.000002))
Transform(Location(x=202.524017, y=-337.410095, z=0.021069), Rotation(pitch=0.043017, yaw=90.660675, roll=0.000134))
Transform(Location(x=202.522705, y=-337.298065, z=0.021070), Rotation(pitch=0.042846, yaw=90.661873, roll=0.000311))
Transform(Location(x=202.521378, y=-337.182404, z=0.021072), Rotation(pitch=0.042532, yaw=90.661652, roll=0.000505))
Transform(Location(x=202.520035, y=-337.063324, z=0.021075), Rotation(pitch=0.042026, yaw=90.660217, roll=0.000674))
Transform(Location(x=202.518707, y=-336.940918, z=0.021079), Rotation(pitch=0.041316, yaw=90.658180, roll=0.000761))
Transform(Location(x=202.517319, y=-336.815369, z=0.021084), Rotation(pitch=0.040442, yaw=90.655975, roll=0.000772))
Transform(Location(x=202.515900, y=-336.686829, z=0.021090), Rotation(pitch=0.039472, yaw=90.654320, roll=0.000683))
Transform(Location(x=202.514404, y=-336.555298, z=0.021096), Rotation(pitch=0.038468, yaw=90.653831, roll=0.000503))
Transform(Location(x=202.512863, y=-336.420959, z=0.021102), Rotation(pitch=0.037464, yaw=90.654404, roll=0.000314))
Transform(Location(x=202.511307, y=-336.283783, z=0.021107), Rotation(pitch=0.036494, yaw=90.655937, roll=0.000139))
Transform(Location(x=202.509659, y=-336.143829, z=0.021113), Rotation(pitch=0.035565, yaw=90.658096, roll=0.000015))
Transform(Location(x=202.507980, y=-336.001129, z=0.021118), Rotation(pitch=0.034697, yaw=90.660522, roll=-0.000061))
Transform(Location(x=202.506287, y=-335.855774, z=0.021123), Rotation(pitch=0.033885, yaw=90.662872, roll=-0.000061))
Transform(Location(x=202.504547, y=-335.707794, z=0.021127), Rotation(pitch=0.033113, yaw=90.664711, roll=0.000005))
Transform(Location(x=202.502762, y=-335.557373, z=0.021132), Rotation(pitch=0.032341, yaw=90.665909, roll=0.000101))
Transform(Location(x=202.500977, y=-335.404480, z=0.021137), Rotation(pitch=0.031419, yaw=90.666443, roll=0.000213))
Transform(Location(x=202.499176, y=-335.249603, z=0.021145), Rotation(pitch=0.030114, yaw=90.666382, roll=0.000306))
Transform(Location(x=202.497375, y=-335.093475, z=0.021157), Rotation(pitch=0.028079, yaw=90.665779, roll=0.000392))
Transform(Location(x=202.495575, y=-334.936951, z=0.021175), Rotation(pitch=0.024958, yaw=90.665398, roll=0.000387))
Transform(Location(x=202.493790, y=-334.780823, z=0.021199), Rotation(pitch=0.020846, yaw=90.665276, roll=0.000355))
