Transform(Location(x=28.504181, y=-304.387054, z=0.001769), Rotation(pitch=-0.000765, yaw=-62.462132, roll=-0.000153))
Transform(Location(x=28.520466, y=-304.418060, z=0.001644), Rotation(pitch=0.013421, yaw=-62.465927, roll=-0.000427))
Transform(Location(x=28.526957, y=-304.430450, z=0.001631), Rotation(pitch=0.015668, yaw=-62.456768, roll=-0.000488))
Transform(Location(x=28.534494, y=-304.444763, z=0.001620), Rotation(pitch=0.017533, yaw=-62.451332, roll=-0.000488))
Transform(Location(x=28.543274, y=-304.461365, z=0.001610), Rotation(pitch=0.019186, yaw=-62.446095, roll=-0.000641))
Transform(Location(x=28.553385, y=-304.480377, z=0.001600), Rotation(pitch=0.020907, yaw=-62.442482, roll=-0.000854))
Transform(Location(x=28.564438, y=-304.500977, z=0.001596), Rotation(pitch=0.021522, yaw=-62.443554, roll=-0.001038))
Transform(Location(x=28.576538, y=-304.523529, z=0.001594), Rotation(pitch=0.021843, yaw=-62.442665, roll=-0.001190))
Transform(Location(x=28.589655, y=-304.547974, z=0.001593), Rotation(pitch=0.022062, yaw=-62.440903, roll=-0.001282))
Transform(Location(x=28.603872, y=-304.574432, z=0.001591), Rotation(pitch=0.022478, yaw=-62.431770, roll=-0.001373))
Transform(Location(x=28.619225, y=-304.603027, z=0.001588), Rotation(pitch=0.022990, yaw=-62.417091, roll=-0.001526))
Transform(Location(x=28.635788, y=-304.633789, z=0.001584), Rotation(pitch=0.023591, yaw=-62.398876, roll=-0.001770))
Transform(Location(x=28.653587, y=-304.666779, z=0.001580), Rotation(pitch=0.024227, yaw=-62.377724, roll=-0.002014))
Transform(Location(x=28.672655, y=-304.702026, z=0.001576), Rotation(pitch=0.024862, yaw=-62.353737, roll=-0.002258))
Transform(Location(x=28.692995, y=-304.739502, z=0.001573), Rotation(pitch=0.025456, yaw=-62.326580, roll=-0.002502))
Transform(Location(x=28.714619, y=-304.779205, z=0.001570), Rotation(pitch=0.025968, yaw=-62.296608, roll=-0.002716))
Transform(Location(x=28.737522, y=-304.821167, z=0.001568), Rotation(pitch=0.026392, yaw=-62.263802, roll=-0.002930))
Transform(Location(x=28.761713, y=-304.865326, z=0.001566), Rotation(pitch=0.026706, yaw=-62.227589, roll=-0.003204))
Transform(Location(x=28.787144, y=-304.911591, z=0.001565), Rotation(pitch=0.026856, yaw=-62.188099, roll=-0.003448))
Transform(Location(x=28.813757, y=-304.959869, z=0.001566), Rotation(pitch=0.026740, yaw=-62.144875, roll=-0.003723))
Transform(Location(x=28.841423, y=-305.009827, z=0.001568), Rotation(pitch=0.026235, yaw=-62.097912, roll=-0.003998))
Transform(Location(x=28.869995, y=-305.061218, z=0.001574), Rotation(pitch=0.025265, yaw=-62.047272, roll=-0.004272))
Transform(Location(x=28.899305, y=-305.113708, z=0.001583), Rotation(pitch=0.023783, yaw=-61.992535, roll=-0.004578))
Transform(Location(x=28.929150, y=-305.166840, z=0.001595), Rotation(pitch=0.021775, yaw=-61.934212, roll=-0.004822))
Transform(Location(x=28.959309, y=-305.220306, z=0.001609), Rotation(pitch=0.019261, yaw=-61.872715, roll=-0.005005))
Transform(Location(x=28.989862, y=-305.274109, z=0.001623), Rotation(pitch=0.016973, yaw=-61.806133, roll=-0.005432))
Transform(Location(x=29.020603, y=-305.327850, z=0.001638), Rotation(pitch=0.014460, yaw=-61.735931, roll=-0.005707))
Transform(Location(x=29.051365, y=-305.381348, z=0.001653), Rotation(pitch=0.011782, yaw=-61.663273, roll=-0.005768))
Transform(Location(x=29.082027, y=-305.434418, z=0.001669), Rotation(pitch=0.009064, yaw=-61.588562, roll=-0.005737))
Transform(Location(x=29.112514, y=-305.486969, z=0.001685), Rotation(pitch=0.006441, yaw=-61.513062, roll=-0.005524))
