Transform(Location(x=128.001633, y=-372.374756, z=0.001751), Rotation(pitch=-0.000335, yaw=-11.380052, roll=0.000402))
Transform(Location(x=148.002502, y=-375.036530, z=0.001749), Rotation(pitch=0.015798, yaw=-3.854494, roll=-0.020294))
Transform(Location(x=168.212891, y=-375.313507, z=0.001783), Rotation(pitch=0.009965, yaw=1.235277, roll=-0.010437))
Transform(Location(x=188.676834, y=-375.107697, z=0.001601), Rotation(pitch=0.040995, yaw=0.183478, roll=-0.004486))
Transform(Location(x=208.840485, y=-374.947052, z=0.001658), Rotation(pitch=0.031207, yaw=0.306324, roll=0.004265))
Transform(Location(x=228.938904, y=-374.897034, z=0.002186), Rotation(pitch=-0.058624, yaw=-0.060211, roll=0.003752))
Transform(Location(x=249.108475, y=-374.854675, z=0.001984), Rotation(pitch=-0.024261, yaw=1.080267, roll=-0.015320))
Transform(Location(x=269.394318, y=-373.493988, z=0.001568), Rotation(pitch=0.046637, yaw=6.607872, roll=-0.042267))
Transform(Location(x=289.517181, y=-369.573792, z=0.002029), Rotation(pitch=-0.032047, yaw=16.778168, roll=-0.102112))
Transform(Location(x=308.371185, y=-362.488281, z=0.001939), Rotation(pitch=-0.016686, yaw=24.362391, roll=-0.037750))
Transform(Location(x=326.492676, y=-353.178589, z=0.001845), Rotation(pitch=-0.000731, yaw=30.686214, roll=-0.042114))
Transform(Location(x=342.962067, y=-341.351685, z=0.001844), Rotation(pitch=-0.000731, yaw=40.266502, roll=-0.046814))
Transform(Location(x=357.387360, y=-327.033020, z=0.001673), Rotation(pitch=0.028468, yaw=48.835205, roll=-0.054840))
Transform(Location(x=369.881165, y=-310.844574, z=0.001709), Rotation(pitch=0.022225, yaw=56.478085, roll=-0.081879))
Transform(Location(x=379.993439, y=-293.057495, z=0.001731), Rotation(pitch=0.018435, yaw=64.997238, roll=-0.102631))
Transform(Location(x=387.341675, y=-274.346344, z=0.001748), Rotation(pitch=0.015668, yaw=73.197372, roll=-0.117523))
Transform(Location(x=391.992096, y=-254.318939, z=0.001766), Rotation(pitch=0.012465, yaw=82.344574, roll=-0.149231))
Transform(Location(x=393.450470, y=-233.944077, z=0.001887), Rotation(pitch=-0.008087, yaw=89.534111, roll=-0.088287))
Transform(Location(x=393.295044, y=-213.571854, z=0.001844), Rotation(pitch=-0.000731, yaw=91.385887, roll=-0.017639))
Transform(Location(x=393.007660, y=-193.229248, z=0.001563), Rotation(pitch=0.047026, yaw=89.526886, roll=0.036205))
Transform(Location(x=393.235107, y=-172.826675, z=0.001910), Rotation(pitch=-0.011994, yaw=89.459366, roll=-0.006592))
Transform(Location(x=393.286957, y=-152.363846, z=0.002345), Rotation(pitch=-0.085903, yaw=90.215103, roll=-0.008667))
Transform(Location(x=392.882294, y=-131.807480, z=0.001774), Rotation(pitch=0.011277, yaw=91.074951, roll=0.013016))
Transform(Location(x=392.685333, y=-111.312965, z=0.001565), Rotation(pitch=0.046828, yaw=90.263756, roll=0.004849))
Transform(Location(x=392.564575, y=-90.842422, z=0.001606), Rotation(pitch=0.039820, yaw=90.758904, roll=-0.014099))
Transform(Location(x=392.214264, y=-70.771751, z=0.001959), Rotation(pitch=-0.020381, yaw=91.212257, roll=-0.006042))
Transform(Location(x=391.782654, y=-50.453491, z=0.002384), Rotation(pitch=-0.092583, yaw=91.219498, roll=0.000450))
Transform(Location(x=391.319061, y=-30.354862, z=0.002131), Rotation(pitch=-0.049314, yaw=92.251198, roll=-0.027374))
Transform(Location(x=387.612762, y=-10.606730, z=0.001872), Rotation(pitch=0.034410, yaw=109.244492, roll=-0.093811))
Transform(Location(x=377.134186, y=6.936015, z=0.011307), Rotation(pitch=0.036220, yaw=133.814224, roll=-0.180817))
Transform(Location(x=360.520569, y=18.076481, z=0.147613), Rotation(pitch=0.757406, yaw=158.881989, roll=-0.463043))
Transform(Location(x=340.272736, y=21.222530, z=0.429259), Rotation(pitch=1.174389, yaw=-178.870193, roll=-0.113068))
Transform(Location(x=319.952759, y=20.965414, z=0.926577), Rotation(pitch=1.639682, yaw=-179.662216, roll=-0.020691))
Transform(Location(x=299.929230, y=20.665905, z=1.597316), Rotation(pitch=2.270703, yaw=-178.719437, roll=0.005584))
Transform(Location(x=279.342499, y=20.252621, z=2.477664), Rotation(pitch=2.756712, yaw=-179.243195, roll=0.001843))
Transform(Location(x=259.043793, y=20.021915, z=3.534450), Rotation(pitch=3.246416, yaw=-179.453674, roll=-0.020874))
Transform(Location(x=238.497208, y=19.854486, z=4.756551), Rotation(pitch=3.464620, yaw=-179.642059, roll=-0.033936))
Transform(Location(x=217.714661, y=19.632105, z=6.004668), Rotation(pitch=3.458043, yaw=-178.948563, roll=-0.009491))
Transform(Location(x=197.057373, y=19.193947, z=7.215870), Rotation(pitch=3.151415, yaw=-178.475189, roll=0.019833))
Transform(Location(x=176.770020, y=18.626200, z=8.251269), Rotation(pitch=2.686224, yaw=-178.341614, roll=0.031167))
Transform(Location(x=156.019684, y=18.061052, z=9.139545), Rotation(pitch=2.210365, yaw=-178.649002, roll=0.022875))
Transform(Location(x=135.748825, y=17.635828, z=9.839863), Rotation(pitch=1.715832, yaw=-179.151031, roll=0.010259))
Transform(Location(x=115.074989, y=17.383007, z=10.373858), Rotation(pitch=1.170599, yaw=-179.608856, roll=-0.189453))
Transform(Location(x=94.971588, y=17.255993, z=10.713284), Rotation(pitch=0.821774, yaw=-179.713318, roll=-0.045502))
Transform(Location(x=74.526550, y=17.165758, z=10.970094), Rotation(pitch=0.162961, yaw=-179.843796, roll=-0.015717))
Transform(Location(x=53.733200, y=17.110870, z=10.991880), Rotation(pitch=0.022601, yaw=-179.898041, roll=0.003458))
Transform(Location(x=33.624260, y=17.085604, z=10.998363), Rotation(pitch=0.027348, yaw=179.995010, roll=0.003733))
Transform(Location(x=13.245916, y=17.091587, z=11.000902), Rotation(pitch=-0.050475, yaw=179.929855, roll=0.003251))
Transform(Location(x=-7.383718, y=17.118982, z=10.865258), Rotation(pitch=-0.731226, yaw=179.903122, roll=0.005917))
Transform(Location(x=-28.279812, y=17.133575, z=10.516863), Rotation(pitch=-0.983643, yaw=-179.876785, roll=-0.004242))
Transform(Location(x=-48.367558, y=17.072905, z=10.171659), Rotation(pitch=-0.972530, yaw=-179.675827, roll=-0.008850))
Transform(Location(x=-68.663292, y=16.939777, z=9.825753), Rotation(pitch=-0.974941, yaw=-179.513519, roll=-0.014282))
Transform(Location(x=-89.149834, y=16.767469, z=9.448604), Rotation(pitch=-1.054287, yaw=-179.509689, roll=0.018284))
Transform(Location(x=-109.813828, y=16.593313, z=9.053006), Rotation(pitch=-1.151918, yaw=-179.573853, roll=-0.062469))
Transform(Location(x=-130.640244, y=16.450104, z=8.316685), Rotation(pitch=-2.547025, yaw=-179.712921, roll=-0.001068))
Transform(Location(x=-151.689438, y=16.352892, z=7.235777), Rotation(pitch=-2.973017, yaw=-179.846268, roll=0.002006))
Transform(Location(x=-171.840363, y=16.322069, z=6.190402), Rotation(pitch=-2.967246, yaw=179.854874, roll=0.022815))
Transform(Location(x=-192.175507, y=16.381752, z=5.136229), Rotation(pitch=-2.967499, yaw=179.678711, roll=0.029176))
Transform(Location(x=-212.679230, y=16.503128, z=4.073328), Rotation(pitch=-2.967676, yaw=179.547821, roll=0.033778))
Transform(Location(x=-233.339249, y=16.669958, z=3.032224), Rotation(pitch=-2.695800, yaw=179.514130, roll=0.028134))
Transform(Location(x=-254.134308, y=16.774204, z=2.130883), Rotation(pitch=-2.235104, yaw=-179.785843, roll=-0.027924))
Transform(Location(x=-275.030457, y=16.668943, z=1.386492), Rotation(pitch=-1.853331, yaw=-179.502518, roll=-0.025604))
Transform(Location(x=-295.981598, y=16.516592, z=0.799383), Rotation(pitch=-1.357391, yaw=-179.723038, roll=0.001700))
Transform(Location(x=-316.757477, y=16.421185, z=0.376030), Rotation(pitch=-0.987611, yaw=-179.804337, roll=0.002538))
Transform(Location(x=-337.192413, y=16.347752, z=0.113822), Rotation(pitch=-0.520324, yaw=-179.813385, roll=0.000830))
Transform(Location(x=-358.279694, y=16.311993, z=0.008509), Rotation(pitch=-0.267853, yaw=179.749771, roll=0.014889))
Transform(Location(x=-378.647064, y=16.437122, z=-0.002912), Rotation(pitch=-0.135709, yaw=179.325226, roll=0.029868))
Transform(Location(x=-399.081116, y=16.677607, z=0.002634), Rotation(pitch=-0.106168, yaw=179.262314, roll=0.002178))
Transform(Location(x=-419.268860, y=16.964787, z=0.002071), Rotation(pitch=-0.039403, yaw=178.542740, roll=0.021612))
Transform(Location(x=-439.278870, y=19.272650, z=0.001635), Rotation(pitch=0.034923, yaw=169.150742, roll=0.061700))
Transform(Location(x=-458.548584, y=24.962643, z=0.001703), Rotation(pitch=0.023168, yaw=155.202240, roll=0.193276))
Transform(Location(x=-475.605499, y=35.859581, z=0.001725), Rotation(pitch=0.019446, yaw=137.589569, roll=0.237682))
Transform(Location(x=-488.949371, y=51.167034, z=0.001739), Rotation(pitch=0.017082, yaw=121.843506, roll=0.246042))
Transform(Location(x=-497.887421, y=69.787537, z=0.001751), Rotation(pitch=0.015163, yaw=106.433876, roll=0.256952))
Transform(Location(x=-501.945923, y=90.143570, z=0.001763), Rotation(pitch=0.013121, yaw=93.794273, roll=0.215434))
Transform(Location(x=-502.466156, y=110.865913, z=0.001769), Rotation(pitch=0.012124, yaw=89.328072, roll=0.053766))
Transform(Location(x=-502.442596, y=131.443268, z=0.001778), Rotation(pitch=0.010621, yaw=90.826591, roll=-0.026886))
Transform(Location(x=-502.709198, y=151.715607, z=0.001785), Rotation(pitch=0.009460, yaw=90.594559, roll=0.005998))
Transform(Location(x=-502.927124, y=172.436386, z=0.001791), Rotation(pitch=0.008435, yaw=90.638054, roll=-0.000977))
Transform(Location(x=-503.170898, y=192.663864, z=0.001796), Rotation(pitch=0.007582, yaw=90.766205, roll=-0.002289))
Transform(Location(x=-503.524414, y=213.204514, z=0.001808), Rotation(pitch=0.005553, yaw=91.524673, roll=-0.019440))
Transform(Location(x=-504.032166, y=233.931198, z=0.001824), Rotation(pitch=0.002855, yaw=90.520164, roll=0.037231))
