Transform(Location(x=9.528030, y=26.460701, z=10.992407), Rotation(pitch=0.120416, yaw=-2.712952, roll=-0.006409))
Transform(Location(x=29.930670, y=26.152096, z=10.999146), Rotation(pitch=0.072926, yaw=0.488741, roll=0.000660))
Transform(Location(x=50.255623, y=27.166592, z=10.992411), Rotation(pitch=-0.006837, yaw=0.622400, roll=0.084023))
Transform(Location(x=70.376877, y=26.955212, z=10.975568), Rotation(pitch=-0.344815, yaw=1.053116, roll=-0.000458))
Transform(Location(x=90.514481, y=27.297785, z=10.767859), Rotation(pitch=-0.749361, yaw=1.064560, roll=-0.143066))
Transform(Location(x=110.919838, y=27.679333, z=10.419112), Rotation(pitch=-1.143462, yaw=0.876422, roll=0.194441))
Transform(Location(x=131.655792, y=27.847364, z=9.953090), Rotation(pitch=-1.674277, yaw=0.863578, roll=-0.015472))
Transform(Location(x=151.691132, y=28.388157, z=9.295069), Rotation(pitch=-2.109825, yaw=1.884966, roll=-0.037872))
Transform(Location(x=171.706497, y=28.949018, z=8.474670), Rotation(pitch=-2.568445, yaw=0.797927, roll=0.030526))
Transform(Location(x=191.760406, y=29.028334, z=7.492099), Rotation(pitch=-3.043211, yaw=0.096594, roll=0.042282))
Transform(Location(x=211.889191, y=29.258625, z=6.345908), Rotation(pitch=-3.454013, yaw=0.972509, roll=-0.004517))
Transform(Location(x=232.082611, y=29.617336, z=5.132002), Rotation(pitch=-3.444854, yaw=0.901842, roll=0.008656))
Transform(Location(x=252.285873, y=29.888308, z=3.919728), Rotation(pitch=-3.400601, yaw=0.705142, roll=0.015720))
Transform(Location(x=272.919739, y=30.161913, z=2.784091), Rotation(pitch=-2.922419, yaw=0.761907, roll=0.008658))
Transform(Location(x=293.524139, y=30.504875, z=1.844284), Rotation(pitch=-2.339633, yaw=0.988699, roll=-0.000854))
Transform(Location(x=314.144806, y=30.833326, z=1.097851), Rotation(pitch=-1.868070, yaw=0.783217, roll=0.007227))
Transform(Location(x=334.530212, y=30.821667, z=0.549197), Rotation(pitch=-1.314142, yaw=-1.456573, roll=0.062697))
Transform(Location(x=354.819916, y=29.427313, z=0.234901), Rotation(pitch=-0.781456, yaw=-9.284711, roll=0.118684))
Transform(Location(x=373.935425, y=22.435316, z=0.030976), Rotation(pitch=-0.255183, yaw=-30.632328, roll=0.074264))
Transform(Location(x=389.090851, y=8.808221, z=0.010324), Rotation(pitch=-0.008087, yaw=-52.870770, roll=0.116444))
Transform(Location(x=398.242096, y=-9.669302, z=0.001962), Rotation(pitch=-0.007233, yaw=-72.266487, roll=0.077362))
Transform(Location(x=402.250458, y=-29.884794, z=0.001815), Rotation(pitch=0.003640, yaw=-84.836121, roll=0.056611))
Transform(Location(x=403.196899, y=-50.551025, z=0.001834), Rotation(pitch=0.000540, yaw=-89.389832, roll=0.013146))
Transform(Location(x=403.171722, y=-70.798012, z=0.001836), Rotation(pitch=0.000171, yaw=-91.652596, roll=0.025892))
Transform(Location(x=402.704529, y=-91.196510, z=0.001838), Rotation(pitch=-0.000184, yaw=-90.543442, roll=-0.009583))
Transform(Location(x=402.603790, y=-111.713493, z=0.001838), Rotation(pitch=-0.000615, yaw=-89.807465, roll=-0.004425))
Transform(Location(x=402.657623, y=-132.312256, z=0.001840), Rotation(pitch=-0.000792, yaw=-89.769844, roll=-0.004395))
Transform(Location(x=402.856567, y=-152.408478, z=0.001822), Rotation(pitch=0.002179, yaw=-89.334465, roll=-0.000214))
Transform(Location(x=403.094940, y=-172.974121, z=0.001827), Rotation(pitch=0.001318, yaw=-89.379997, roll=0.000085))
Transform(Location(x=403.298035, y=-193.143753, z=0.001831), Rotation(pitch=0.000731, yaw=-89.540085, roll=0.001346))
Transform(Location(x=403.407990, y=-213.557983, z=0.001834), Rotation(pitch=0.000328, yaw=-90.070618, roll=0.008188))
Transform(Location(x=402.990448, y=-234.130264, z=0.001851), Rotation(pitch=-0.002534, yaw=-92.301666, roll=0.014787))
Transform(Location(x=401.471130, y=-254.444916, z=0.001854), Rotation(pitch=-0.003265, yaw=-97.702789, roll=0.062961))
Transform(Location(x=397.397644, y=-274.099030, z=0.001850), Rotation(pitch=-0.002473, yaw=-105.509308, roll=0.054928))
Transform(Location(x=390.465881, y=-293.483337, z=0.001848), Rotation(pitch=-0.002473, yaw=-114.197571, roll=0.065942))
Transform(Location(x=381.044556, y=-311.616577, z=0.001846), Rotation(pitch=-0.002288, yaw=-120.440117, roll=0.042604))
Transform(Location(x=369.499298, y=-328.321747, z=0.001845), Rotation(pitch=-0.002288, yaw=-129.174225, roll=0.064471))
Transform(Location(x=355.641449, y=-343.049835, z=0.001844), Rotation(pitch=-0.002288, yaw=-137.292328, roll=0.057961))
Transform(Location(x=339.982758, y=-355.761169, z=0.001843), Rotation(pitch=-0.002288, yaw=-143.884491, roll=0.034724))
