Transform(Location(x=-164.732162, y=-95.141876, z=0.094200), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
Transform(Location(x=-185.008896, y=-94.778999, z=0.017058), Rotation(pitch=0.262730, yaw=177.607086, roll=0.005449))
Transform(Location(x=-205.301086, y=-93.643379, z=-0.001307), Rotation(pitch=-0.026549, yaw=176.394867, roll=0.006708))
Transform(Location(x=-225.684723, y=-92.359413, z=0.002123), Rotation(pitch=-0.047511, yaw=176.403244, roll=-0.000092))
Transform(Location(x=-245.566147, y=-88.546783, z=0.001447), Rotation(pitch=0.067496, yaw=167.995102, roll=-0.011963))
Transform(Location(x=-264.961426, y=-82.706436, z=0.002539), Rotation(pitch=-0.119084, yaw=132.147247, roll=0.604315))
Transform(Location(x=-271.492096, y=-63.614651, z=0.001852), Rotation(pitch=-0.000915, yaw=96.635643, roll=0.001283))
Transform(Location(x=-272.218109, y=-43.567436, z=0.002003), Rotation(pitch=-0.027184, yaw=89.893234, roll=0.005203))
Transform(Location(x=-272.773102, y=-22.909382, z=0.002057), Rotation(pitch=-0.036446, yaw=92.556328, roll=0.001147))
Transform(Location(x=-273.686523, y=-2.685275, z=0.001379), Rotation(pitch=0.078977, yaw=92.918571, roll=0.073913))
Transform(Location(x=-274.832520, y=17.663656, z=0.001380), Rotation(pitch=0.078766, yaw=94.264771, roll=-0.010712))
Transform(Location(x=-275.982605, y=38.009686, z=0.001989), Rotation(pitch=-0.024958, yaw=91.271591, roll=0.060898))
Transform(Location(x=-274.303192, y=58.110119, z=0.002417), Rotation(pitch=-0.097501, yaw=69.549904, roll=0.407339))
Transform(Location(x=-264.718231, y=76.173096, z=0.001511), Rotation(pitch=0.056848, yaw=54.075203, roll=0.299955))
Transform(Location(x=-248.811752, y=88.673019, z=0.001613), Rotation(pitch=0.039410, yaw=22.928024, roll=0.266076))
Transform(Location(x=-228.906006, y=93.018219, z=0.001403), Rotation(pitch=0.074900, yaw=7.114654, roll=0.064848))
Transform(Location(x=-208.706009, y=94.239510, z=0.001375), Rotation(pitch=0.079620, yaw=-0.869446, roll=0.083012))
Transform(Location(x=-188.362762, y=94.271027, z=0.056281), Rotation(pitch=0.042545, yaw=5.105531, roll=-0.176025))
Transform(Location(x=-167.826965, y=94.450294, z=-0.001669), Rotation(pitch=0.096347, yaw=-4.561220, roll=0.185611))
Transform(Location(x=-147.462799, y=93.463036, z=0.001372), Rotation(pitch=0.074613, yaw=-0.944214, roll=-0.067718))
Transform(Location(x=-126.243004, y=93.791130, z=0.001448), Rotation(pitch=0.066772, yaw=4.199798, roll=-0.158936))
Transform(Location(x=-104.663712, y=95.037666, z=0.001491), Rotation(pitch=0.059641, yaw=2.398129, roll=0.025258))
Transform(Location(x=-84.123405, y=95.792305, z=0.001519), Rotation(pitch=0.054805, yaw=0.085953, roll=0.103019))
Transform(Location(x=-63.928299, y=95.807426, z=0.001537), Rotation(pitch=0.051766, yaw=-2.278412, roll=0.131086))
Transform(Location(x=-43.621399, y=95.113678, z=0.018838), Rotation(pitch=-0.107029, yaw=-4.046968, roll=0.219657))
Transform(Location(x=-23.460260, y=93.747566, z=0.000292), Rotation(pitch=0.052176, yaw=-6.032506, roll=0.115317))
Transform(Location(x=-2.136202, y=92.383553, z=0.001839), Rotation(pitch=-0.008483, yaw=0.103651, roll=-0.166901))
Transform(Location(x=18.638823, y=92.047348, z=0.002682), Rotation(pitch=-0.142546, yaw=2.726026, roll=-0.190948))
Transform(Location(x=39.995369, y=92.150581, z=0.002756), Rotation(pitch=-0.152955, yaw=-2.828736, roll=0.096301))
