Transform(Location(x=-110.700020, y=-88.060577, z=0.094200), Rotation(pitch=0.000000, yaw=0.086304, roll=0.000000))
Transform(Location(x=-90.481323, y=-88.044365, z=0.001788), Rotation(pitch=0.009904, yaw=0.044397, roll=0.000005))
Transform(Location(x=-70.333244, y=-88.028732, z=0.002060), Rotation(pitch=-0.036378, yaw=0.055558, roll=0.000026))
Transform(Location(x=-50.117664, y=-88.033058, z=0.009412), Rotation(pitch=0.125908, yaw=-0.141510, roll=0.029997))
Transform(Location(x=-29.886108, y=-88.102394, z=0.000861), Rotation(pitch=0.085541, yaw=-0.233063, roll=0.000748))
Transform(Location(x=-9.844576, y=-88.184021, z=0.001464), Rotation(pitch=0.064675, yaw=-0.234619, roll=-0.000031))
Transform(Location(x=10.659765, y=-88.267891, z=0.002568), Rotation(pitch=-0.123080, yaw=-0.232849, roll=-0.000031))
Transform(Location(x=29.402815, y=-95.381264, z=0.002012), Rotation(pitch=-0.026549, yaw=-64.227554, roll=0.098101))
Transform(Location(x=31.860252, y=-115.272667, z=0.001586), Rotation(pitch=0.054922, yaw=-90.925026, roll=-0.192383))
Transform(Location(x=32.554600, y=-135.475479, z=0.002274), Rotation(pitch=-0.041350, yaw=-86.208618, roll=-0.058014))
Transform(Location(x=32.595230, y=-155.627945, z=0.001763), Rotation(pitch=0.016529, yaw=-90.933495, roll=0.000068))
Transform(Location(x=32.836685, y=-175.940430, z=0.002455), Rotation(pitch=-0.101223, yaw=-72.978310, roll=-0.482727))
Transform(Location(x=51.001270, y=-184.834015, z=0.001348), Rotation(pitch=0.084708, yaw=-7.326514, roll=-0.050110))
Transform(Location(x=71.268234, y=-185.490189, z=0.001598), Rotation(pitch=0.042190, yaw=0.654127, roll=-0.005127))
Transform(Location(x=91.322701, y=-185.261292, z=0.001372), Rotation(pitch=0.080992, yaw=0.653314, roll=-0.000305))
Transform(Location(x=111.363846, y=-185.032944, z=0.001386), Rotation(pitch=0.080992, yaw=0.653314, roll=-0.000305))
Transform(Location(x=131.551331, y=-182.170013, z=0.002435), Rotation(pitch=-0.097050, yaw=18.813702, roll=-0.415436))
Transform(Location(x=147.583893, y=-169.813614, z=0.002166), Rotation(pitch=-0.051636, yaw=38.429348, roll=0.132365))
Transform(Location(x=164.496964, y=-158.761444, z=0.001808), Rotation(pitch=0.009166, yaw=46.573933, roll=-0.235443))
Transform(Location(x=177.918533, y=-143.735245, z=0.001746), Rotation(pitch=0.019575, yaw=56.718887, roll=-0.205719))
Transform(Location(x=184.582062, y=-124.825409, z=0.001553), Rotation(pitch=0.052961, yaw=83.294792, roll=0.108136))
Transform(Location(x=187.994110, y=-105.005669, z=0.001380), Rotation(pitch=0.082072, yaw=79.932365, roll=0.000315))
Transform(Location(x=189.880341, y=-85.081573, z=0.002342), Rotation(pitch=-0.082092, yaw=98.273056, roll=-0.285797))
Transform(Location(x=187.602783, y=-65.145767, z=0.001767), Rotation(pitch=0.016112, yaw=93.323158, roll=0.034895))
Transform(Location(x=186.552170, y=-44.962818, z=0.001796), Rotation(pitch=0.011106, yaw=89.396561, roll=0.114218))
Transform(Location(x=187.166824, y=-24.650482, z=0.001458), Rotation(pitch=0.068814, yaw=87.553436, roll=0.006369))
Transform(Location(x=189.412552, y=-4.686267, z=0.001686), Rotation(pitch=0.030019, yaw=81.262718, roll=0.028360))
Transform(Location(x=191.530975, y=15.604974, z=0.002034), Rotation(pitch=-0.029445, yaw=94.276527, roll=-0.286987))
Transform(Location(x=190.310196, y=35.903572, z=0.002152), Rotation(pitch=-0.049444, yaw=86.444382, roll=0.193264))
Transform(Location(x=191.803329, y=56.414043, z=0.001934), Rotation(pitch=-0.012328, yaw=87.619835, roll=-0.115204))
Transform(Location(x=190.425079, y=76.585152, z=0.001821), Rotation(pitch=0.007076, yaw=98.517738, roll=0.133734))
Transform(Location(x=188.441498, y=96.647392, z=0.001381), Rotation(pitch=0.081819, yaw=95.212761, roll=0.000974))
Transform(Location(x=186.275986, y=116.781471, z=0.002237), Rotation(pitch=-0.064238, yaw=104.869644, roll=-0.243042))
Transform(Location(x=180.334549, y=136.275711, z=0.001614), Rotation(pitch=0.042033, yaw=108.101608, roll=-0.001740))
Transform(Location(x=168.837021, y=153.066620, z=0.001639), Rotation(pitch=0.037942, yaw=131.503830, roll=-0.016418))
Transform(Location(x=154.726501, y=167.391205, z=0.001986), Rotation(pitch=-0.021700, yaw=153.345520, roll=-0.438019))
Transform(Location(x=136.783661, y=176.413452, z=0.002169), Rotation(pitch=-0.052435, yaw=153.294525, roll=0.000712))
Transform(Location(x=118.042358, y=183.555801, z=0.002140), Rotation(pitch=-0.047449, yaw=167.260208, roll=-0.033478))
Transform(Location(x=98.037361, y=186.443390, z=0.001406), Rotation(pitch=0.077707, yaw=176.080963, roll=-0.178558))
Transform(Location(x=77.859161, y=185.041595, z=0.001969), Rotation(pitch=-0.018312, yaw=-179.378510, roll=0.021243))
Transform(Location(x=57.578197, y=184.844894, z=0.001502), Rotation(pitch=0.061096, yaw=-179.497681, roll=0.000589))
Transform(Location(x=37.532520, y=184.674133, z=0.001966), Rotation(pitch=-0.017854, yaw=-179.737122, roll=0.027963))
Transform(Location(x=17.558702, y=186.598495, z=0.001371), Rotation(pitch=0.083403, yaw=174.047165, roll=0.001231))
Transform(Location(x=-2.452187, y=187.151428, z=0.001866), Rotation(pitch=-0.000792, yaw=-178.940674, roll=-0.044434))
Transform(Location(x=-22.795383, y=186.776779, z=0.612876), Rotation(pitch=4.096870, yaw=-178.923782, roll=0.078395))
Transform(Location(x=-43.347305, y=186.402008, z=2.732772), Rotation(pitch=6.752441, yaw=-179.667618, roll=0.109844))
Transform(Location(x=-63.745430, y=187.164032, z=5.105445), Rotation(pitch=6.529114, yaw=175.577469, roll=-0.432526))
Transform(Location(x=-83.978790, y=188.747513, z=7.311246), Rotation(pitch=4.725958, yaw=175.445755, roll=-0.360199))
Transform(Location(x=-104.603378, y=190.392731, z=8.189445), Rotation(pitch=0.391240, yaw=175.484482, roll=-0.044434))
Transform(Location(x=-124.841698, y=191.991943, z=8.382563), Rotation(pitch=0.672883, yaw=175.488663, roll=-0.047363))
Transform(Location(x=-144.836807, y=192.589111, z=8.595495), Rotation(pitch=0.669639, yaw=-163.415222, roll=-0.371796))
Transform(Location(x=-164.270111, y=186.418747, z=8.831171), Rotation(pitch=0.584582, yaw=-167.078354, roll=0.099697))
Transform(Location(x=-184.032730, y=182.609573, z=9.060271), Rotation(pitch=0.702505, yaw=-168.528931, roll=-0.328400))
Transform(Location(x=-200.351151, y=171.019760, z=9.288539), Rotation(pitch=0.533718, yaw=-120.683083, roll=-0.201172))
Transform(Location(x=-210.569031, y=153.813232, z=9.497587), Rotation(pitch=0.658649, yaw=-120.618759, roll=0.063035))
Transform(Location(x=-220.759277, y=136.591629, z=9.678572), Rotation(pitch=0.530794, yaw=-119.530174, roll=-0.151978))
Transform(Location(x=-224.981018, y=117.040619, z=9.820399), Rotation(pitch=0.255005, yaw=-83.424210, roll=-0.321625))
Transform(Location(x=-226.842926, y=96.861221, z=9.918449), Rotation(pitch=0.240505, yaw=-98.700119, roll=-0.025726))
Transform(Location(x=-229.718201, y=76.830963, z=9.974930), Rotation(pitch=0.180713, yaw=-93.815948, roll=-0.129547))
Transform(Location(x=-230.842499, y=56.407562, z=9.998928), Rotation(pitch=0.085282, yaw=-92.627312, roll=-0.004608))
Transform(Location(x=-231.768143, y=36.228127, z=10.001405), Rotation(pitch=0.079380, yaw=-92.627930, roll=0.000302))
Transform(Location(x=-232.739960, y=15.532554, z=10.001395), Rotation(pitch=0.078021, yaw=-92.791008, roll=0.003871))
Transform(Location(x=-233.730881, y=-4.954950, z=10.001410), Rotation(pitch=0.075706, yaw=-92.439079, roll=-0.037079))
Transform(Location(x=-233.211014, y=-25.696196, z=10.002369), Rotation(pitch=-0.087829, yaw=-88.469116, roll=-0.018005))
Transform(Location(x=-233.926987, y=-45.872040, z=10.002065), Rotation(pitch=-0.035428, yaw=-97.505135, roll=0.188885))
Transform(Location(x=-233.998093, y=-66.242432, z=10.001935), Rotation(pitch=-0.013428, yaw=-78.833755, roll=-0.360413))
Transform(Location(x=-230.175018, y=-85.976128, z=10.001430), Rotation(pitch=0.073616, yaw=-78.253029, roll=-0.030823))
Transform(Location(x=-225.916885, y=-106.484459, z=10.001704), Rotation(pitch=0.078383, yaw=-78.244179, roll=-0.000885))
Transform(Location(x=-221.682220, y=-126.841179, z=10.003867), Rotation(pitch=-0.102268, yaw=-78.242043, roll=0.000025))
