Transform(Location(x=10.765376, y=187.678467, z=0.001677), Rotation(pitch=-0.000458, yaw=-176.581085, roll=0.000214))
Transform(Location(x=-9.330843, y=187.884079, z=0.040478), Rotation(pitch=1.078699, yaw=176.640457, roll=0.064040))
Transform(Location(x=-29.598976, y=189.330185, z=1.183351), Rotation(pitch=5.589929, yaw=-179.467056, roll=-0.093536))
Transform(Location(x=-49.981537, y=189.278625, z=3.509200), Rotation(pitch=6.574412, yaw=179.606781, roll=-0.016327))
Transform(Location(x=-70.112015, y=189.451981, z=5.843285), Rotation(pitch=6.618221, yaw=-177.746887, roll=0.173333))
Transform(Location(x=-90.280434, y=188.826462, z=7.741948), Rotation(pitch=3.258287, yaw=-179.334564, roll=0.067358))
Transform(Location(x=-110.296158, y=189.035217, z=8.231406), Rotation(pitch=0.643588, yaw=176.983948, roll=0.032617))
Transform(Location(x=-130.725739, y=188.315323, z=8.445375), Rotation(pitch=0.534640, yaw=-176.444275, roll=0.012838))
Transform(Location(x=-151.172577, y=187.482971, z=8.674386), Rotation(pitch=0.748035, yaw=-177.631088, roll=-0.177155))
Transform(Location(x=-170.666306, y=181.875412, z=8.920001), Rotation(pitch=0.755569, yaw=-159.908386, roll=-0.015106))
Transform(Location(x=-189.241013, y=173.441910, z=9.167809), Rotation(pitch=0.660746, yaw=-146.727585, roll=-0.215027))
Transform(Location(x=-204.895111, y=160.206711, z=9.408550), Rotation(pitch=0.693940, yaw=-133.184311, roll=-0.148743))
Transform(Location(x=-216.302078, y=143.299820, z=9.611012), Rotation(pitch=0.579876, yaw=-110.989273, roll=-0.354126))
Transform(Location(x=-223.766495, y=124.610313, z=9.770668), Rotation(pitch=0.370797, yaw=-111.756760, roll=-0.059509))
Transform(Location(x=-228.122345, y=104.868759, z=9.887340), Rotation(pitch=0.345751, yaw=-94.025108, roll=-0.335510))
Transform(Location(x=-227.502930, y=84.154381, z=9.958152), Rotation(pitch=0.206743, yaw=-90.116692, roll=0.046160))
Transform(Location(x=-228.608124, y=63.531796, z=9.995240), Rotation(pitch=0.143598, yaw=-93.390282, roll=0.101754))
Transform(Location(x=-229.917542, y=42.801582, z=10.002021), Rotation(pitch=0.060966, yaw=-96.994026, roll=0.087657))
Transform(Location(x=-230.938553, y=22.284994, z=10.001490), Rotation(pitch=0.061089, yaw=-79.183556, roll=-0.443298))
Transform(Location(x=-228.362534, y=1.689460, z=10.001469), Rotation(pitch=0.061424, yaw=-85.230217, roll=-0.062592))
Transform(Location(x=-227.386475, y=-18.333046, z=10.002035), Rotation(pitch=-0.034759, yaw=-102.787025, roll=0.645956))
Transform(Location(x=-229.975647, y=-38.874447, z=10.002662), Rotation(pitch=-0.140961, yaw=-99.812660, roll=0.214522))
Transform(Location(x=-231.278259, y=-59.186768, z=10.002530), Rotation(pitch=-0.118804, yaw=-81.558456, roll=-0.396912))
Transform(Location(x=-228.784805, y=-79.108810, z=10.001846), Rotation(pitch=-0.002384, yaw=-84.608849, roll=0.050191))
Transform(Location(x=-228.964233, y=-99.512314, z=10.002413), Rotation(pitch=-0.076266, yaw=-92.469147, roll=-0.008148))
Transform(Location(x=-226.578445, y=-119.628754, z=10.002253), Rotation(pitch=0.081334, yaw=-67.482628, roll=-0.247864))
Transform(Location(x=-217.009644, y=-137.348938, z=10.003698), Rotation(pitch=0.082693, yaw=-56.960369, roll=-0.097443))
Transform(Location(x=-206.113144, y=-154.556564, z=10.006706), Rotation(pitch=-0.045598, yaw=-58.728771, roll=0.036615))
Transform(Location(x=-192.517059, y=-169.511261, z=10.009347), Rotation(pitch=0.002677, yaw=-20.054287, roll=-0.715057))
Transform(Location(x=-173.555817, y=-176.566620, z=10.013554), Rotation(pitch=-0.090609, yaw=-19.624300, roll=0.020529))
